,userid,tweetid,text,hashtags
385522,14795451,1500862932120391685,"For UN noon briefing Inner City Press is banned from by censor SG @AntonioGuterres it has just emailed @UN_Spokesperson &amp; @MelissaFleming question including why covered up SG's call to Russia DefMin, and recruitment of #Nigeria-ns to fight in #Ukraine - no answers https://t.co/2C62cuuSbD","[{'text': 'Nigeria', 'indices': [223, 231]}, {'text': 'Ukraine', 'indices': [247, 255]}]"
481870,50361094,1500921004855488514,"Yes, Biden’s climate policies empowered Putin: https://t.co/CavkFKHUGs

#Bidenadministration #energysecurity #climatechange #energy #UkraineRussiaWar #Putin https://t.co/oQ8FXJHRcz","[{'text': 'Bidenadministration', 'indices': [72, 92]}, {'text': 'energysecurity', 'indices': [93, 108]}, {'text': 'climatechange', 'indices': [109, 123]}, {'text': 'energy', 'indices': [124, 131]}, {'text': 'UkraineRussiaWar', 'indices': [132, 149]}, {'text': 'Putin', 'indices': [150, 156]}]"
257346,1415705704879427584,1500786941104898048,"State Councillor and Foreign Minister Wang Yi said that some people while being vocal about the principle of sovereignty on the #Ukraine issue, have kept undermining China's sovereignty and territorial integrity on the #Taiwan question. This is a blatant double standard. https://t.co/myyUd7EmpW",[]
49609,1214343618741362689,1500653739971076098,"Taking a poll—since the lifting of #Covid_19 mask mandates in time for the #SOTU2022, have you developed symptoms of a cold or flu?  

#PostCovidWellnessPoll  #Accountability #Omicron #CovidVaccine #UkraineRussianWar","[{'text': 'Covid_19', 'indices': [55, 64]}, {'text': 'SOTU2022', 'indices': [95, 104]}]"
431858,22375735,1500891040756252679,"A symbol that we all #StandWithUkraine.

Thanks to the overwhelming support from our Masters Club members, this year’s Pysanka coins have sold out on our website before public availability.

1/3 https://t.co/0WQOGoVV9s","[{'text': 'StandWithUkraine', 'indices': [39, 56]}]"
539832,524344367,1500964533652926466,Does #Russia want #NATO to enter #Ukraine first to justify attacking NATO nations?,"[{'text': 'Russia', 'indices': [5, 12]}, {'text': 'NATO', 'indices': [18, 23]}, {'text': 'Ukraine', 'indices': [33, 41]}]"
258175,1089918040291139584,1500787196202463232,"@ZelenskyyUa WW3 started already, did you listen to #putintwat ? Economic sanctions are like act of war for Russia, #putintwat said. No fly zone required, NATO troops in #Ukraine, required, it's simple.","[{'text': 'putintwat', 'indices': [52, 62]}, {'text': 'putintwat', 'indices': [116, 126]}, {'text': 'Ukraine', 'indices': [170, 178]}]"
358093,2343298588,1500846937565712388,This is Europe in 2022 (not 1940). #Putin must be stopped. #StandWithUkraine️ https://t.co/tqZ0K7gSyu,"[{'text': 'Putin', 'indices': [50, 56]}, {'text': 'StandWithUkraine️', 'indices': [74, 92]}]"
189713,770864937828835328,1500745348339359745,"Rather die freemen than to be slaves. 
I stand with President Volodymyr Zelinsky. Thank you for exhibiting true leadership. I stand with the people of Ukraine ✊
#strong 
#StandWithUkraine https://t.co/LycJTuelBN",[]
523809,53176097,1500952479810433025,"CNN now confirming the story of #Russia recruiting pro-Assad fighters from Syria to fight urban warfare in #Ukraine ...

😱","[{'text': 'Russia', 'indices': [32, 39]}, {'text': 'Ukraine', 'indices': [107, 115]}]"
183706,475653255,1500741907009388546,"✔️Medicine
✔️First aid kits 
✔️Midwifery kits 
✔️Surgical equipment 
✔️Early childhood kits
✔️Personal protective equipment from COVID19 

The first batch of desperately needed #humanitarian supplies has arrived in Lviv, western #Ukraine from @UNICEFSupply
https://t.co/y9x6fWnk4o",[]
519227,1310982818206547968,1500946435054911498,"Opinion💭by @JamesRGorrie

If the West were to react to a Chinese invasion of #Taiwan in the same way they did to the #Ukraine invasion, its effect would be devastating.

Decoupling from the global system would be costly for #China—and every other nation. https://t.co/h6DKHN3fly","[{'text': 'Taiwan', 'indices': [95, 102]}]"
76162,1160113082607296512,1500671773343465473,"@ABC .@ABC May the devil take Putin!!! To hell! There is no place on earth for him!!! I invite to my blog https://t.co/TTpwXQGxl8
#UkraineRussiaWar #Ukraine #Putin #UkraineUnderAttaсk #Zaporozhye #Zaporoze","[{'text': 'UkraineRussiaWar', 'indices': [130, 147]}, {'text': 'Ukraine', 'indices': [148, 156]}, {'text': 'Putin', 'indices': [157, 163]}, {'text': 'UkraineUnderAttaсk', 'indices': [164, 183]}, {'text': 'Zaporozhye', 'indices': [184, 195]}, {'text': 'Zaporoze', 'indices': [196, 205]}]"
317919,1497910787054223367,1500822381832646664,"🇺🇳 #Ukraine - 20220307 - #Mariupol, #Donetsk Oblast - A humanitarian aid truck around 12.37 pm https://t.co/b6mBNldUud","[{'text': 'Ukraine', 'indices': [3, 11]}, {'text': 'Mariupol', 'indices': [25, 34]}, {'text': 'Donetsk', 'indices': [36, 44]}]"
303753,4695125258,1500814412193714178,"The flash seen yesterday in #Kharkiv was the result of the intercept of a #Russian Su-34 bomber. Pilot captured. Here he says he couldn't see the targets, based on coords given by HQ. He also says that of the 24 Su-34s in his regiment, only 15 are operational.
#UkraineUnderAttaсk https://t.co/gaiWOnpo3c","[{'text': 'Kharkiv', 'indices': [28, 36]}, {'text': 'Russian', 'indices': [74, 82]}, {'text': 'UkraineUnderAttaсk', 'indices': [261, 280]}]"
405249,1434229298160934913,1500875257435115527,"@POTUS Most of Russia`s war crimes are committed from the air. Help to protect Ukrainian cities from Russian missiles - provide Ukraine with  air and missile defence, anti-tank, protective gear #StandWithUkraine  #StopPutinNOW #ProtectUASky #NoFlyZone","[{'text': 'StandWithUkraine', 'indices': [194, 211]}, {'text': 'StopPutinNOW', 'indices': [213, 226]}, {'text': 'ProtectUASky', 'indices': [227, 240]}, {'text': 'NoFlyZone', 'indices': [241, 251]}]"
452419,2383185847,1500903359665999872,"@ZelenskyyUa @narendramodi Why the hell are you hell bent on joining #NATO?? 
Look what you have brought upon your own people. It's the arms race.","[{'text': 'NATO', 'indices': [69, 74]}]"
514910,4163022496,1500944645039210496,"#Ukraine ⚡️ Most people are not aware of how many Russian neo-Nazis are currently in Ukraine. 
#Russia ⚡️Donbas militant fighters. https://t.co/7xm7APaLxe","[{'text': 'Ukraine', 'indices': [0, 8]}, {'text': 'Russia', 'indices': [95, 102]}]"
340416,200625878,1500835768838893570,"Ten public and private radio stations in the Netherlands are today simulcasting as one radio station — #Radio555 — in support of fundraising efforts for #Ukraine. 
 
 #giro555","[{'text': 'Radio555', 'indices': [103, 112]}, {'text': 'Ukraine', 'indices': [153, 161]}, {'text': 'giro555', 'indices': [167, 175]}]"
98955,58290466,1500686481861529605,"Polish street artist Mariusz Waras has created mural in Gdansk devoted to #Ukraine. He depicted yellow heart pierced with bullets in the blue background with the following sign «Ukraine is fighting».
#StandWithUkraine  #StopWarInUkraine https://t.co/rO51tl7k47","[{'text': 'Ukraine', 'indices': [93, 101]}]"
443584,898300531,1500898004693311490,"Cyber‑readiness in the face of an escalated gray zone conflict
 https://t.co/O3EYPUnA3n via @welivesecurity #ESET #WeLiveSecurity #Ukraine","[{'text': 'ESET', 'indices': [108, 113]}, {'text': 'WeLiveSecurity', 'indices': [114, 129]}, {'text': 'Ukraine', 'indices': [130, 138]}]"
267584,824903725,1500792613649088515,"@dtimes17 @yokotahajime #Hitler threatened to invade Czechoslovakia in order to incorporate into districts of a German-speaking population. #Putin’s attack on Ukraine began in a similar way.
🇺🇦 Zelenskyy has bravely called on the Russians to stop the war.
😷#RussianRevolution2022
https://t.co/01bfhoI9r6","[{'text': 'Hitler', 'indices': [24, 31]}, {'text': 'Putin', 'indices': [140, 146]}, {'text': 'RussianRevolution2022', 'indices': [257, 279]}]"
526638,2311859094,1500953342503272457,"@POTUS @JustinTrudeau @BorisJohnson @Bundeskanzler @EmmanuelMacron @sanchezcastejon @JensStoltenberg
Stand up against Putin's #torture and #genocide against the people of #Ukraine.
#NoFlyZoneOverUkraine
#ArmUkraine
#BudapestMemorandum
#StopRussianAggression
#StopPutinNOW https://t.co/IEYqim2YHJ",[]
497920,79483441,1500933104101330945,"Is this a good time to be planning a vacation in #Russia? https://t.co/LhqkycZ8KP
#Rouble","[{'text': 'Russia', 'indices': [49, 56]}, {'text': 'Rouble', 'indices': [82, 89]}]"
314858,73444066,1500821036039819267,"CN Krieg Tod
#UkraineUnderAttaсk #Ukraine #StopRussianAggression #StopRussia https://t.co/ZUJjRBe1CU","[{'text': 'UkraineUnderAttaсk', 'indices': [13, 32]}, {'text': 'Ukraine', 'indices': [33, 41]}, {'text': 'StopRussianAggression', 'indices': [42, 64]}, {'text': 'StopRussia', 'indices': [65, 76]}]"
267280,1431136428520468480,1500792344056000516,"Covington Partner Jonathan Gimblett now making submissions.

#RussiaUkraineWar #UkraineRussianWar #Ukraine️
#ICJ https://t.co/VzebtguggQ","[{'text': 'RussiaUkraineWar', 'indices': [61, 78]}, {'text': 'UkraineRussianWar', 'indices': [79, 97]}, {'text': 'Ukraine️', 'indices': [98, 107]}, {'text': 'ICJ', 'indices': [108, 112]}]"
